11,1,6.7,9,1.985,1,0.9,0.1,0.1
16,2,10.3,5,1.989,2,0.1,0.9,0.1
10,1,5.6,12,1.967,1,0.9,0.1,0.1
23,1,6.7,3,1.971,1,0.9,0.1,0.1
0,1,8.1,9,1.98,2,0.1,0.9,0.1
4,2,9.1,9,1.978,2,0.1,0.9,0.1
16,3,13.3,5,1.993,3,0.1,0.1,0.9
20,2,9.4,10,2.001,1,0.9,0.1,0.1
20,3,11,3,2.001,2,0.1,0.9,0.1
13,3,12.1,3,1.99,2,0.1,0.9,0.1
10,2,10.4,5,1.986,2,0.1,0.9,0.1
16,2,10.5,5,1.989,2,0.1,0.9,0.1
17,2,9.4,10,2.004,2,0.1,0.9,0.1
25,2,10.5,5,1.989,1,0.9,0.1,0.1
19,4,12.5,1,2.002,2,0.1,0.9,0.1
11,2,9.1,9,1.986,1,0.9,0.1,0.1
1,2,9.2,9,1.979,2,0.1,0.9,0.1
11,2,8.4,11,1.987,2,0.1,0.9,0.1
14,1,5.9,3,1.981,1,0.9,0.1,0.1
10,1,7.5,3,1.982,1,0.9,0.1,0.1
1,1,6.7,9,1.983,1,0.9,0.1,0.1
7,0,5.4,3,1.982,1,0.9,0.1,0.1
24,3,12.5,3,1.996,2,0.1,0.9,0.1
9,2,9.2,9,1.978,2,0.1,0.9,0.1
4,3,11.7,3,1.981,3,0.1,0.1,0.9
25,2,10.4,5,1.987,1,0.9,0.1,0.1
16,2,10.5,5,1.989,2,0.1,0.9,0.1
8,4,14.6,4,1.989,3,0.1,0.1,0.9
8,2,8.5,7,2.002,1,0.9,0.1,0.1
